Crash Instance	Worst Injury in Crash	Crash Longitude	Crash Latitude	Crash Report
201545186	Fatal	-86.494607186789	41.950675232664	UD-10
201545288	A - incapacitating injury	-85.306164346805	44.109657752931	UD-10
201545784	A - incapacitating injury	-84.620777432775	45.847477649052	UD-10
201545792	C - possible injury	-84.848263534832	45.017716815188	UD-10
201545795	No injury	-84.702912985489	45.018060357971	UD-10
201546845	A - incapacitating injury	-84.759310704179	42.853609729043	UD-10
20154704	B - nonincapacitating injury	-83.481240471033	44.283673517502	UD-10
201547337	C - possible injury	-85.918375795088	44.223028999258	UD-10
201547361	C - possible injury	-85.236701016576	44.374961333914	UD-10
201547711	No injury	-84.922743136885	44.917229501134	UD-10
201547712	No injury	-84.922743136885	44.917229501134	UD-10
201547817	B - nonincapacitating injury	-85.739898404349	44.352626732308	UD-10
201547819	C - possible injury	-85.443656094647	44.223078164062	UD-10
201547844	B - nonincapacitating injury	-84.935026772683	45.045374974985	UD-10
201548089	A - incapacitating injury	-84.381270106224	43.092019957408	UD-10
201550275	C - possible injury	-85.595211453211	46.514654245914	UD-10
201551026	C - possible injury	-87.974715203904	47.389606520347	UD-10
201551511	No injury	-88.50942705195	47.170557499475	UD-10
201552074	C - possible injury	-85.003918064235	45.012957328429	UD-10
201552075	B - nonincapacitating injury	-84.897606029151	45.05936146032	UD-10
201552150	No injury	-84.69118329622	44.99026939293	UD-10
201552194	A - incapacitating injury	-84.874932044759	44.9206778492	UD-10
201553269	B - nonincapacitating injury	-84.770386527415	44.68163592871	UD-10
201553320	No injury	-84.625725808129	45.852029827979	UD-10
201553435	No injury	-84.74444312737	44.684979251624	UD-10
201554164	A - incapacitating injury	-85.4962039299	44.230400028562	UD-10
201559413	C - possible injury	-85.493362139309	43.636153579887	UD-10
20156263	No injury	-84.761345269475	45.51029059808	UD-10
20156721	No injury	-85.852005942417	41.852770907367	UD-10
201568314	No injury	-83.858746163969	42.808999449586	UD-10
201568330	A - incapacitating injury	-84.441878016653	45.149464470839	UD-10
201569422	No injury	-84.947995213508	46.343717610558	UD-10
20157359	C - possible injury	-84.016825650758	43.292010680844	UD-10
20157453	No injury	-85.534166957762	42.575186852924	UD-10
201574886	Fatal	-85.936715440967	44.807284068035	UD-10
201575072	No injury	-82.630236491114	42.976273592823	UD-10
201576009	C - possible injury	-83.931191320393	42.635436115333	UD-10
2015801	No injury	-85.105955942282	46.752426014342	UD-10
201589723	A - incapacitating injury	-85.696619536659	44.12359535407	UD-10
201589732	No injury	-85.842420683732	44.139639179498	UD-10
201595228	A - incapacitating injury	-85.404277569817	46.139802071388	UD-10
2015106335	A - incapacitating injury	-84.947996508111	46.345976028008	UD-10
2015106339	No injury	-84.604978501798	46.425548352807	UD-10
2015106353	B - nonincapacitating injury	-84.32223738124	46.456877270562	UD-10
2015106490	No injury	-84.918080727658	43.928749506565	UD-10
2015106713	No injury	-88.294464019266	46.097688013004	UD-10
2015107643	A - incapacitating injury	-89.908625169185	46.498840237387	UD-10
2015107658	No injury	-89.925542849832	46.481548610279	UD-10
2015107831	A - incapacitating injury	-85.373505567305	44.613005050686	UD-10
2015108064	C - possible injury	-84.735796271247	43.364629423323	UD-10
2015108242	A - incapacitating injury	-88.183440163537	47.37799512391	UD-10
2015108290	C - possible injury	-88.805348469807	46.928776615496	UD-10
2015109219	B - nonincapacitating injury	-85.009024201918	43.83084235905	UD-10
2015109388	No injury	-84.374498680557	42.395729350069	UD-10
2015110669	No injury	-86.144147390131	43.260363792897	UD-10
2015112610	No injury	-83.410101202069	43.157321985017	UD-10
2015112789	B - nonincapacitating injury	-84.286036393895	41.966878333666	UD-10
2015115235	No injury	-86.014850998275	46.657393323565	UD-10
2015115236	No injury	-86.552985349844	46.419702140502	UD-10
2015115353	A - incapacitating injury	-87.682822892849	46.498519598707	UD-10
2015129758	B - nonincapacitating injury	-85.427315822355	44.651533921877	UD-10
2015150184	No injury	-86.737587061959	46.329205017028	UD-10
2015162719	No injury	-83.615266056207	45.177822218761	UD-10
2015183045	No injury	-83.198361994143	42.392714724347	UD-10
2015183062	No injury	-83.202282094243	42.340796094387	UD-10
2015262225	B - nonincapacitating injury	-82.557578993695	42.948125965502	UD-10
2015264644	B - nonincapacitating injury	-85.771788811445	44.647472314438	UD-10
2015272401	No injury	-83.102913294015	42.296970881048	UD-10
2015300686	C - possible injury	-88.78415655252	46.969457635212	UD-10
